24.06.08;55,94;01:41:50;35.29;54.38;32,02;41,13;Sonnig;1;6;0;Nord- Ost;24,6;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz,Rath,Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
26.06.08;50,45;01:33:44;37.06;54.47;31,61;46,07;Sonnig;3;17;26;Sued- West;22,1;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
29.06.08;51,56;01:35:20;37.35;55.13;31,45;45,61;Bewoelkt;3;19;0;Sued- West;19,5;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
01.07.08;62,67;01:55:47;37.13;55.53;31,71;45,61;Sonnig;1;6;19;Ost;28,2;Dahlheim, Rothenbach, Elfenmeer, Oberkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
04.07.08;45,33;01:21:11;35.34;53.43;32,95;44,74;Leichter Regen;3;17;26;Nord- West;18,2;Dalheim, Wildenrath, Myhl, Gerderath, Gerderhahn, Genholt, Schwanenberg, Kehrbusch, Rath- Anhoven, Schoenhausen, Beeck, Ellinghoven, Broich, Berg, Ricklerath, Schwaam, Merbeck, Niederkruechten, Arsbeck
05.07.08;50,29;01:33:22;36.58;55.22;31,62;46,74;Leicht bew.;2;11;22;Sued;24,2;Dahlheim, Rothenbach, Oberkruechten, Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich, Ellinghoven, Beeck, Wegberg, Watern, Klinkum, Arsbeck
10.07.08;50,03;01:30:08;34.35;53.31;32,55;43,05;Leichter Regen;3;20;30;Sued- West;21,2;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck Arsbeck
11.07.08;50,84;01:31:45;35.44;54.23;32,72;41,88;Wolkig;3;19;30;Sued- West;19,3;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck Arsbeck
13.07.08;54,94;01:40:33;35.47;54.47;32,33;40,77;Leicht bew;2;9;19;Nord- West;20,3;Niederkruechten, Merbeck, Schwaam, Rickelrath, Broich,Beeck, Moorshoven, Schoenhausen, Rath, Erkelenz, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Klinkum, Merbeck Arsbeck
14.07.08;62,37;01:55:46;37.50;55.10;31,71;46,07;Leicht bew.;2;7;13;West;22,3;Dahlheim, Rothenbach, Elfenmeer, Oberkruechten, Merbeck, Schwaam, Rickelrath, Broich, Beeck, Schoenhausen, Rath, Kehrbusch, Schwanenberg, Gerderhahn, Gerderath, Flugplatz, Arsbeck
